"list_topic_question_creators","list_topics","list_topic_question_titles","list_topic_questions","list_topic_question_timestamps"
"Masbrayyy","t82mgcur94n9wqdb","kurang paham","kurang paham dengan cara ini tlong dbuat tour nya la biar lbh paham","2016-07-20T06:49:32Z"
"Barimin s","t81irpt31ucd0j1i","bagaimana carang mau buat foto profil ?","Mau membuat foto profil tapi tidak bisa,caranya bagai mans","2016-07-19T18:56:57Z"
"Sasaupb","t7y9l66b6ifvuql8","baru coba buat biodata tapi sudah dihapus","halaman [[Sasa Ani Arnomo]] bagaimana cara memperbaiki","2016-07-18T07:52:47Z"
"Widhiesofhieyehana","t7up5froq6mgbddu","cara membuat bionya gimana gan","kasih tau ya","2016-07-16T17:26:31Z"
"Acep mutaqin","t7unflirthjtap9t","met malam salam kenal semua nya","selamat malam.dan salam kenalsya mencba gabung disini, untuk mengetahui berita berita yg akurat dari daerah di pedesaan mengenai perkembangan pembangunan pedesaan","2016-07-16T16:55:41Z"
"Jamal standar 3","t7tbycuaeiyen850","cara menampilakan my biodata & my profil di (wikipedia) & halaman Google.","cara menampilakan my biodata & my profil di (wikipedia) & halaman Google.","2016-07-16T02:43:08Z"
"Danus dadan","t7sfdcgv214h0qk1","Artikel saya jangan di hapus dulu, akan saya revisi","Selamat malam.  Untuk Artikel saya yang telah dihapus, akan saya revisi lagi, mohon kerjasamanya. Terimakasih  Danus{{FlowMention|Mimihitam}}","2016-07-15T16:58:03Z"
"Irwan guntari","t7s9j9peeg5llck3","cara masukin profile","cara masukan data profile ke wikipedia bagaimana caranya? terima kasih","2016-07-15T15:13:16Z"
"Kemalfaqot","t7q867vhiz5pam5c","lebah madu trigona sp","Hallo,saya pengguna baru wikipedia yang i","2016-07-14T17:15:56Z"
"Bona pasogit","t7q5aqv1zsqwafb2","salam hormat pak , saya bona pasogit pengguna wikipedia yang baru saya kurang paham menggunakan wikipedia dalam membuat berita saya mohon pak untuk meminta bantuan pak","salam hormat pak , saya bona pasogit pengguna wikipedia yang baru saya kurang paham menggunakan wikipedia dalam membuat berita saya mohon pak untuk meminta bantuan pak","2016-07-14T16:24:19Z"
"Tiyo nugros","t7pncy72591hfj11","hou","tulis buku","2016-07-14T11:02:13Z"
"SalamIceTea","t7l021eer836ftfn","Bagaimana cara membagikan tautan 'perang mu'tah' ke facebook?","Gimana cara membagikan tautan tentang perang Mu'tah ke FB","2016-07-12T08:58:03Z"
"Salam TV","t7iqip6l4rx818tw","PAPUA KAL","saya ingin menyantumkan profil perusahaan saya di wikipedia , tapi saya tidak tau gmn caranya .. seperti contoh [[Masjid Istiqlal]], mohon bantuannya","2016-07-11T08:33:56Z"
"Kangdonat","t7gqe3ouerdud42w","apakah  arti automatis","automatis  adalah bahasa  manca  jika  di artikan bahasa indonesia  adalah  kira  kira apa ya?   juga   bahasa  jawa nya  automatis  ??","2016-07-10T10:58:47Z"
"Memid43Fachry","t7e5qpxxf71jnyp1","baru babung","gimana cara gabung diwekepedia","2016-07-09T07:15:08Z"
"Johnstad Di Maria","t7cn0ufzh70ql6hh","Pembicaraan","Selamat malam  Mungkin pertanyaan ini agak konyol, tapi bagaimana cara membalas pembicaraan di halaman pembicaraan pengguna?  Terimakasih","2016-07-08T14:52:35Z"
"Uzi amin","t7ad8d580c3iotbl","pertanyaan","saya buat artikel profil pemain sepak bola yang baru,tapi saya search di google belum muncul.Padahal referensinya jelas.Mohon Bantuannya ?","2016-07-07T14:23:55Z"
"Slamet Jarot","t79o94l1ayh5cdui","informasi bantuan","saya ingin membaca semua informasi yang saya daftarkan, dan bila ada informasi lain yang berhubungan dengan informasi saya, dapatkah saya sunting juga.  Bagaimana caranya menyunting, mohon di info kan, terima kasih{{FlowMention|Slamet Jarot}}","2016-07-07T06:55:23Z"
"Bobby januar","t79lravbwfi6o5t4","gimana cara nyunting nya ?? new","Tolong jwbnnya","2016-07-07T06:10:34Z"
"Simanullang0303","t786ynim60ejckm0","saya mau posting stasiun radio baru wilayah sumatera utara humbang hasundundutan dolok sanggul","namanya Green Radio 91,1 FM Dolok Sanggul Humbahas  sebelumya sudah saya buat tapi tidak berhasil mohon di bantu","2016-07-06T14:58:28Z"
"Hari akbar pertama","t77lnlnyd0k448x3","Bagaiman","Bagaimana cara publikasikan puisi yg saya buat","2016-07-06T08:35:52Z"
"Naufal L Hadi","t75szdhi2iyywq1g","bagaimana?","bagaimana saya mempublish artikel yang saya buat disini?","2016-07-05T13:14:35Z"
"Diandara indah","t73t3m9y4zs9fq1r","artikel saya tentang stand up comedian kak jek tolong di undelet pak bos","artikel saya tentang stand up comedian kak jek tolong di undelet pak bos","2016-07-04T15:43:50Z"
"Sherly vicktoria","t72ntjjzfhuvb0bq","cara mengaplod foto","Wikipadia:warung kopi(bantuan)","2016-07-04T03:22:36Z"
"Frengki adinata","t71mudrtvidnt5mg","pertanyaan","ini media gimana maksudnya","2016-07-03T16:18:38Z"
"Johnstad Di Maria","t6zi6q4lulv2w0fk","Abuse Filter","Selamat malam  Saya ingin bertanya. Saya telah selesai menerjemahkan artikel Sejarah Ukraina, hanya saja ketika ingin menerbitkan halaman ada peringatan tentang artikel spam. Padahal saya tidak memasukkan unsur apapun yang berbau spam.  Mohon bantuannya.  Terima Kasih  <nowiki>~~~~</nowiki>","2016-07-02T17:22:09Z"
"Muhammad wahyu romadhon","t6wi2jcry4hrbsny","cara memasukkan foto di wikipedia","Assalamualaikum warohmatullahi wabarokatuh.  salam hormat,Muhammad wahyu romadhon  Ana ingin bertanya bagaimana cara memasukkan foto saat membuat halaman di wikipedia?  Terima kasih.  wassalamualaikum warohmatullahi wabarokatuh","2016-07-01T09:00:46Z"
"MisbąĦul Muŋir","t6vbov6p3kwwj2q5","Baru masuk","Saya bingung masuk kesini, Apa ada yang bisa membantu saya. Terimah kasih","2016-06-30T20:19:47Z"
"Daud april","t6uufg7ozj8inw3v","bantuan","pak bos,gimana sumber berita dari wikipedia saya bagikan dengan facebook atau instagram? mohon bantuannya?","2016-06-30T15:09:49Z"
"Mtouriq","t6rnih0ws562vuyp","Ada kesalahan pada satu artikel, namun pengguna baru tidak dapat memperbaiki","Ada kesalahan pada artikel [[Daftar stasiun televisi di Indonesia]], dimana Nabawi TV disebutkan channel dari Malaysia. Yang seharusnya channel tersebut murni dari Indonesia.   Bagaimana cara memperbaikinya? dihalaman tersebut tertulis kalau pengguna baru tidak dapat menyunting sampai waktu yang tidak ditentukan.","2016-06-29T04:46:21Z"
"FAHRI NUSANTARA","t6l96n9p48y7ree7","menulis biografi diri sendiri","bisakah saya menulis biografi saya sendiri di wikipedia?","2016-06-26T07:50:29Z"
"Omas sulastri","t6i0a8fvyv7sb73c","bagaimana membuat profil pribadi","saya adalah pemula di wikipedia bagaimana cara menggunakan wikipedia ini","2016-06-24T20:51:22Z"
"Muhammad Diva Faundra","t6gqunohdge3pt2q","Salah menuliskan nama profil","Saya salah menuliskan nama saya yang seharusnya bernama Muhammad Diva Faundra justru salah mengetik menjadi Muhammad Duva Faundra,bagaimana cara mengubah nama saya menjadi yang benar?","2016-06-24T07:15:34Z"
"GigihSetyaji","t6g8x7fq14uhq2bm","Tanya Pengurus","Saya baru saja membuat halaman tapi kenapa sudah hilang lagi ya? halamannya Riau24com","2016-06-24T01:53:37Z"
"Defian Armadaniawan","t6efqsj803fj0ty9","Bertanya","Apa Ada Alamat Resmi Wikipedia Di Indonesia","2016-06-23T06:23:15Z"
"Jaelani030894","t6cz4bz7wvct76ov","BERTANYA","bagaimana saya bisa melakukan komunikasi dengan admin via email. mohon bantuan","2016-06-22T14:38:19Z"
"Bangkit Imanuel Sentosa","t6c7468wkm5ke8gh","Halaman ini telah dilindungi","Ka saya mau tanya, maksud ka Erick Fastman untuk melindungi [https://id.wikipedia.org/w/index.php?title=Kesenjangan_komunikasi_negara_barat_dan_timur&action=edit&redlink=1 Kesenjangan komunikasi negara barat dan timur] [Buat=Hanya untuk pengguna terdaftar otomatis] itu bagaimana ya ka? halaman saya dapat tampil atau saya harus buat ulang? mohon bimbingannya ka.","2016-06-22T06:15:28Z"
"Bangkit Imanuel Sentosa","t6bznsojm9vd8yl6","Tugas Universitas","Saya Bangkit, mahasiswa UNSERA semester 4, mau memberi informasi dan meminta bantuan para Admin terhormat, pengawas dan pengurus wikipedia untuk tidak menghapus artikel yang saya buat untuk tugas.  Saya harus membuat artikel yang bagaimana ya? boleh  saya minta referensi halaman contoh tugas proyeknya?  saya bingung.","2016-06-22T04:01:36Z"
"Ramli Tuansyah","t6bwzqkb3am2eu4o","BANTUAN UNTUK TUGAS SEKOLAH/UNIVERSITAS","salam sejahtera untuk semua, bisa minta tolong untuk tidak menghapus artikel saya yang berjudul '''''""komponen komunikasi internasional""''''' untuk memenuhi mata kuliah, terimakasih","2016-06-22T03:13:41Z"
"Jaelani030894","t69wuj3xspzh1p7n","help","<nowiki>ada orang disini~~~</nowiki>","2016-06-21T05:38:14Z"
"Jaelani030894","t69we7jbtqvrzy2q","revisi","selamat siang, bisa bantu saya untuk merevisi artikel di bawah ini, terimakasih  '''''<nowiki>{{Gnt:Undangan diskusi|Wikipedia:Artikel bagus/Usulan/SEJARAH SISTEM PEMBERITAAN INTERNASIONAL}}</nowiki>'''''","2016-06-21T05:30:05Z"
"Jaelani030894","t68x2h9b82lx1476","ARTIKEL","hai. selamat malam mimin cantik dan kece, tolong bantu saya untuk mengupload dan atrikel dari buku saya diterima di wikipedia, tolong tunjukan arahannya, terimakasihg :)","2016-06-20T18:55:46Z"
"Faizalakbar95","t66ks5ticbqvsae7","cara upload file pdf ke wikipedia","info dong cara upload file pdf ke wikipedia gmn ya?","2016-06-19T17:42:17Z"
"M Arif Munawar","t65mkhcr63jo9hby","Cara menambahkan Kategori","bagaimana cara untuk menambahkan kategori agar masuk kedalam kategori tersebut?","2016-06-19T07:27:56Z"
"Dwi Rizqa","t65ebrqni7sa3faf","artikel baru target spam","kenapa tulisan saya diberi pesan: ""Aksi ini secara otomatis telah diidentifikasi sebagai tindakan yang merusak, dan karenanya ditolak. Jika Anda yakin bahwa suntingan anda adalah suntingan yang bermanfaat, silakan hubungi pengurus, dan informasikan apa yang sedang Anda lakukan. Keterangan singkat tentang peraturan penyalahgunaan yang berkaitan dengan aksi Anda adalah: Artikel baru target spam"" ? mohon bantuannya","2016-06-19T04:59:56Z"
"Darsomabel","t64hghiajffs5czy","kebingunan","tolong bantu saya,bagaimana ketika topik ini selesai.ke rah mana kah","2016-06-18T19:09:44Z"
"Bona manullang 77","t64eteriobukh0rr","Bagaimana cara untuk mengecek apakah postingan diterima atau tidak?","min, tolong bantu infonya donk gmn caranya biar kita tahu udh berhasil atau tidaknya postingan yg kita buat ini..  Trims..","2016-06-18T18:22:18Z"
"Kurniabagas27","t649cf1sa6tyby2k","Kenapa revisi saya tidak muncul?","[[Pengguna:Kurniabagas27|Kurniabagas27]] ([[Pembicaraan Pengguna:Kurniabagas27|bicara]]) 18 Juni 2016 16.44 (UTC)","2016-06-18T16:44:03Z"
"Pio ode","t63y48tushjnqbu0","..??","bagaimana cara saya agar bisa nulis di sini...??","2016-06-18T13:22:27Z"
"Dwi Rizqa","t639vo6orniyu7to","Penyimpanan sebelum posting","bisakah tulisan disimpan sebelum diposting?","2016-06-18T07:51:46Z"
"Rossmiaty","t634vlq09wl86vfr","Cara agar tulisan tidak dihapus","bagaimana caranya agar tulisan saya bertahan di wiki dan tidak di hapus? Apakah ada tag khusus yg di gunakan pada suatu artikel Untuk menandai bahwa itu adalah tugas kuliah?  Mhon bantuannya karena saya masih baru. Terima kasih","2016-06-18T04:37:24Z"
"Jscjisoon9797","t60zct7d2t8cz85u","cara membuat biography","bagaimana caranya membuat biography , dan saya tidak tau caranya membuatnya .","2016-06-17T05:25:23Z"
"Wuekero","t5z1zm6f28i7jaue","Membuat data baru bersumber dari buku","Saya banyak koleksi buku yg memuat otobiografi terutama penyanyi dan artis film tahun 80an kebawah, artis jadul. Saya cari situs resmi Indonesia manapun belum ada yang membahas, dari detik.com, kapan lagi.com .... dan kalaupun ada hanya di kolom2 bloger, yg kurang lengkap,  Aturan penulisan wiki adalah narasumber yg jelas, dari url, atau dr sumber2 data tersebut di atas. Yang ada di situs tersebut manalah ada artis2 lama dibahas,  misalnya Kembar Group, May sumarna, Latief m (penyanyi dangdut), Km Bey Erry (pemimpin sandiwara ratu asia/pipit sandra), pelawak Jack Jhon, Dul Kamdi, seniman lenong (bu siti bokir, anen) dll  apakah dengan menulis otobigrafi tersebut dengan sumber buku, yg ditulis nama pengarang, penerbit, hal sudah cukup? kalau harus menunggu data dari sumber internet, siapa yang mau memulai ....  sepertinya sama permasalahannya dengan asep saifudin ... kita buat data benar dihapus, padaha kita menulis dr sumber yg jelas. Data dari internet (URL) tidak semuanya akurat .Mohon saranya demi kita bersama ...","2016-06-16T08:43:14Z"
"180.250.60.26","t5yhzjv7gxq6ld6m","melihat tanggal sunting terakhir","jika saya membuka wikipedia bagaimana saya tahu bahwa informasi yang disajikan merupakan data terbaru, bisakah ditampilkan tanggal sunting terakhir","2016-06-16T02:40:39Z"
"Asep Saifuddin","t5x07d50own034jo","Ada Masalah Membuat Otobiografi","Halo Nama  Saya Fajar. Saya Bekerja Di Kent Tattoo Studio Sebagai Illustrator, Saya Berniat Untuk Membuat Biografi Kent Yang Bernama Asli Yusepthia S. Soewardy. Ia Sudah Cukup Dikenal, Diberbagai Media Elektronik Maupun Cetak. Saya Sudah Mengantongi Semua Informasi Tentang Dia Dari A Sampai Z. Yang Secara Kebetulan Artikel Tentang Kent Tattoo Belum Ada Di Wikipedia. Saya Berharap Semua Masalah Bisa Terpecahkan Sesegera Mungkin, Saya Mendapatkan Berbagai Macam Kendala, Dimulai Dari Penghapusan Artikel Tanpa Ada Pemberitahuan Atau Toleransi Sama Sekali, Mohon Diperjelas Apa Yang Kurang Dan Yang Perlu Saya Sunting, Saya Mohon Bantuan Sesegera Mungkin ....  Terima Kasih !!","2016-06-24T19:32:35Z"
"Bima33ale","t5vlapcoikthfvv0","Cara agar artikel dimuat Wikipedia ?","setelah selesai menyimpan halaman artikel, apakah artikel saya sudah dapat dibaca oleh semua orang? atau apakah harus menunggu konfirmasi artikel dari tim wikipedia ?","2016-06-14T19:20:48Z"
"RH.Pa1000","t5o62owzguhb4u4i","Pahlawan Apakah Kapten Bongsu Pasaribu ?","Kapten Bongsu Pasaribu adalah nama banyak jalan di Sumatera Utara, seperti di Tapanuli Tengah dan Sibolga. Pahlawan apakah Kapten Bongsu Pasaribu ?","2016-06-11T11:22:27Z"
"Maura Fernanda Putri","t5o14wgb5mnbspns","cara membuat biodata diri sendiri di wikipedia dan bisa muncul di google search ?","cara membuat biodata diri sendiri di wikipedia dan bisa muncul di google search ?","2016-06-11T09:53:46Z"
"ZAHRAN62379","t5nzusbkn2klwjki","Bagaimana Menerjemahkan  Teks","Bagaimana Menerjemahkan Teks? Yang Benar","2016-06-11T09:30:46Z"
"Dimas Adhitya Maulana","t5fpou9qzsaq1wyv","Bagaimana cara mengembalikan nama yang sudah terhapus?","Saya mempunyai akun wikipedia dulu, dan saya membuat artikel dengan judul Viercella yang mana sekarang sudah dihapus karena keterbatasan saya menulis yang hanya sedikit. Dan sekarang saya ingin mengambil judul yang sama, apakah ini bisa? Karena judul itu sangat penting sekali bagi saya dan pembaca yang akan membacanya nanti, saya juga ingin memperbaiki sekaligus menambahi isi artikel yang sudah saya buat dulu. Terima kasih","2016-06-07T16:16:48Z"
"Muhammad imam wahyudi","t5azwaxi7o2blxqk","Salam Kicau Mania","hai wikipedia,bagainana caranya untuk menyimpan suara kicauan burung agar dapat bisa di download oleh semua pemirsa yang melihatbya.Thank You","2016-06-05T13:27:56Z"
"Frengky ayorbaba","t59aoftmo5hvnf2r","kontributor","Salam saya frengky, saya mau tanya ni . bagaimana caranya agar kita bisa bekerja sama untuk menjdi kontributor bagi tv suasta yang berada di wilaya indonesia yang blm ada kontributornya di manokwari papua barat","2016-06-04T19:08:40Z"
"Yusrizal Ghazali","t58y0y3t4phy3ipd","Saya ingin menampilkan hasil upload file saya","Hallo Wikipedia, saya mau bertanya bagaimana cara menanpilkan hasil upload foto dan artikel lainya di wikipedia ini?, terima kasih  {{FlowMention|Yusrizal Ghazali}}","2016-06-04T15:21:29Z"
"M Hanzi Ibal Tree Laksmana","t55msmbfogf9gn4l","gimana cara menambah topik","d","2016-06-03T03:40:31Z"
"36.76.108.25","t4qnwsaibakgtb7z","penyuntingan","kenapa halaman tidak dapat disunting apa penyebabnya ?","2016-05-27T10:24:06Z"
"Muhammad Debi","t4pv705bk2ef45lt","How to create new pages..?","saya ingin bertanya disini saya cara menyunting deksripsi itu bagai mana ya ..?  apa saya bisa memasukan tokoh yang dapat menjadi inspirasi dunia..?","2016-05-27T01:48:28Z"
"Binna nugraha","t4oydbpm5k1blo4h","Cara menambahkan image di wikipedia","Cara menambahkan image ke wikipedia untuk menambahkan image di profile artikel atau biodata artis gimana ya??  ""Wikipedia:Warung_kopi_(Bantuan)""","2016-05-26T15:59:03Z"
"Zikay23","t4ojkth6bhrudbzt","sejarah kerajaan siak","Menurut saya ada yang salah pada artikel sejarah kerajaan siak. Info yang saya ketahui sebagai masyarakat siak sudah beri pemahaman pada halaman pembahasan. Terimakasih","2016-05-26T11:36:53Z"
"Prima Pratama","t4o9hf9uxyclatun","hai saya prima","saya mau membuat wiki tentang saya atau orang lain bisa, tetapi belum pernah ada di wiki","2016-05-26T08:32:12Z"
"Jurus si Azga","t4jhn7sbextdtwte","cara mengubah nama pengguna di Wikipedia","","2016-05-24T05:06:35Z"
"Ilham Hamdani","t4btyulksrzyksb5","Cara Membuat Post/Tulisan Baru di Wikipedia","Salam Wikipediawan!  Saya ingin tahu tentang bagaimana cara memuat post artikel baru di Wikipedia yang baik dan benar?  Mohon arahannya....  Thanks!","2016-05-20T18:36:25Z"
"James Supratno","t49gqiij9lqxd3ya","Tentang Krebsmethod","Halo wikipedia. Di wiki Emil Krebs ternyata disalah gunakan orang pihak tidak bertanggung jawab, dengan menambahkan suntingan krebs method, dan menambahkan link ke krebamethod.co.id dan menjebak orang untuk membeli kursus bahasa dengan metode krebs.   Wikipedia seharusnya menindak hal ini karena digunakan pihak tidak bertanggung jawab utk menjebak orang orang.  Mohon dapat diverifikasi, dicek dan ditelusuri penipuan ini.  Terima kasih","2016-05-19T17:05:58Z"
"Wahyu satya","t44fzvfbjc1us79w","Memulai halaman baru","bagaimana caranya membuat laman com???","2016-05-17T11:00:32Z"
"Melisa pohan","t44awth99mi76wah","ikatan kovalen","ikatan kovalen antara 2 atom C yang berikatan rangkap dua melibatkan ?","2016-05-17T09:29:14Z"
"Bintang Surya Pratama","t43wtetuu4ffzu4i","Membuat artikel","permisi,saya ingin membuat artikel tentang ""program studi pendidikan guru sekolah dasar"" salah satu universitas,apakah itu termasuk artikel yang layak untuk dibuat?","2016-05-17T05:16:08Z"
"Theo alexandria","t41zirx14m9lbjwf","Cara menambahkan interwiki","Saya theo. Bagaimana cara tambah interwiki","2016-05-16T08:31:51Z"
"Nasyir Rouf","t3v6lamut9z0dvbn","Buat Biografi di Wikipedia","Jika saya ingin membuat Biografi saya di Wikipedia apakah bisa?  Mohon bantuannya.  Terima kasih","2016-05-13T07:13:47Z"
"Achmad Abdillah","t3uugs8d5seoem7t","newbie","saya newbie.gimana ya caranya untuk membuat artikel baru ?","2016-05-13T03:36:03Z"
"Yog4rt","t3okqrlcvmfekmrx","Bagaimana cara memulai halaman baru?","Bagaimana caranya?","2016-05-10T08:02:54Z"
"Aryo MW","t3obuep5k547kaf4","Cara memasukan gambar/logo","Saya Ingin mengunggah gambar dari google. Dan bagaimana cara mengunggahnya?","2016-05-10T05:23:06Z"
"Eldwin Tan Simanjuntak","t3n1p84y6z7r9azo","Profil","bagaimana kita buat profil kita sendiri agar dapat dilihat org ramai","2016-05-09T15:34:31Z"
"Farhan jezando","t3merxgpdp70rtub","Penggunaan huruf kapital","Permisi , saya ingin bertanya pada paragraf berikut  Di artikel [[Tari Gambyong]]  Pada mulanya tarian ini hanyalah tarian jalanan yang juga dipentaskan oleh penari jalanan yang biasa disebut dengan sebutan Tledek (Bahasa Jawa).<sup>[[Tari Gambyong|[5]]]</sup> Nama Tledek yang menarikan tarian ini adalah Gambyong, ia cukup terkenal hampir di seluruh wilayah Surakarta pada Zaman Sinuhun Paku Buwono IV ( 1788 s/d 1820).<sup>[[Tari Gambyong|[5]]]</sup> Si Gambyong memiliki suara yang indah serta gerakan yang gemulai, sehingga ia mudah dikenal orang.<sup>[[Tari Gambyong|[5]]]</sup> Semenjak itulah tarian yang dimainkannya dijuluki Tarian Gambyong.<sup>[[Tari Gambyong|[5]]]</sup>  Yang ingin saya tanyakan adalah, pada kata Zaman, mengapa ditulis dengan huruf kapital?  Mohon jawabannya segera, terima kasih","2016-05-09T08:45:41Z"
"Patrianus daka","t3guj0p6gmcdixvy","apa fungsi wikipedia","apa fungsi wikipedia","2016-05-06T20:47:09Z"
"Gusti Pakunegara","t3f4lnhnjnh123sz","Liat kembali artikel yg di buat","Bagaiamana cara mau melihat kembali artiketl yg pernah  kita tulis atau mau menambah artikel yang ada","2016-05-06T02:16:15Z"
"Dee Ann Rose","t3ak87txjdkt7nsp","Cara Mengubah Judul Utama","Bagaimana ya cara mengubah judul utamanya? Tidak bisa diedit. Terima kasih.","2016-05-04T01:03:37Z"
"Puchicatos","t37jlp71twr6ihr5","Hasil edit tidak langsung muncul?","Halo, mohon petunjuknya, saya melakukan beberapa edit  di halaman [[Kevin Julio]] tapi hasilnya tidak langsung muncul karena belum diperiksa. Namun sampai sekarang perubahannya belum juga direview oleh editor. Mohon perhatiannya.  Dan butuh berapa lama supaya hasil suntingan kita langsung muncul? Maaf, karena ini sedikit berbeda dengan wikipedia bahasa inggris.  Terima kasih  <nowiki>~~~~</nowiki>","2016-05-02T16:33:06Z"
"Jonathan dos","t36ol6ciadtrs51e","cara ganti title or judul di halaman wikipedia?","bagaimana cara ganti title or judul di halaman wikipedia?  Cara mudah untuk mengantikannya tetapi harus lihat petunjuk ada di wikipedia","2016-05-02T16:24:44Z"
"Agus Msalin","t35op49wpzws9plu","Cara Menampilkan Nama dan Foto di Google Search","Bagaimana Caranya Supaya Google Search Dapat Menemukan Nama Saya serta menampilkan Foto Di Samping Kanan, Seperti Mencari Nama Artis atau Orang-orang yang terkenal lainnya di Google Search??","2016-05-01T20:31:44Z"
"36.83.109.213","t34ycepidhr0p33t","apa yg di madsud mikri","hallo om apa kabar boleh tanya mikri artinya apa","2016-05-01T12:38:31Z"
"Sebastian dwight","t34orpilidleomvn","bagaimana cara membuat akun sendiri","Halo, semua apakah kita bisa membuat profil mengenai diri kita sendiri?   bagaimana caranya?","2016-05-01T09:46:35Z"
"Retnoajisan","t34o2h6wena0ma4j","Pengguna Baru","Halo Semuanya, oh yah saya ingin bertanya untuk ensiklopedia ini apakah membahas hanya orang-orang populer saja atau kita bisa buat ensiklopedia mengenai diri sendiri ?","2016-05-01T09:34:00Z"
